Age,Bonus,ID,Performance_Score,Salary,Years_of_Experience
41.5,9453,148.5,1.53,68513,19
55,2442,135,3.86,56092,26
32,6074,136,2.9800000000000004,41338,3
51,5437,137,1.72,64602,15
26,6435,138,1.95,37543,8
41,9435,148.5,4.89,63496,2
41.5,5107,140,1.72,90692,8
21,1560,141,4.42,74425,15
25,6074,142,2.97,68756,15
47,6548,143,1.99,48888,13
47,2826,144,4.48,65735,1
41.5,8629,145,2.78,77295,15
49,9325,146,3.06,47955,24
30,4138,147,2.44,67841,19
47,8693,148,3.37,95510,16
44,9264,149,1.65,64911,8
58,8842,150,2.56,64602,28
52,7721,151,4.88,37357,1
20,8002,152,2.03,62479,27
46,6074,153,3.63,64602,27
41.5,3978,154,2.3,74811,16
22,8373,155,4.09,66208,9
58,6907,156,1.52,64602,13
25,7097,157,4.88,73286,11
27,6656,158,2.82,98450,13
46,9984,159,1.94,51352,25
28,5259,160,1.29,64602,15
56,9286,161,1.68,44397,10
52,6901,162,3.08,71555,4
43,5917,163,2.35,76959,27
34,9429,164,4.32,30728,6
51,3530,165,2.72,80517,28
51,2960,166,1.99,96234,7
43,8045,167,3.47,69954,5
31,6074,168,2.9800000000000004,77280,11
58,6772,169,1.67,46779,13
21,3529,170,1.67,93932,26
22,3964,171,2.9800000000000004,54466,25
41.5,8137,172,3.95,66939,19
36,1963,173,3.66,99896,23
21,1536,174,2.9,65270,10
21,8340,175,4.38,89163,10
47,8179,176,4.22,64602,11
42,8967,177,3.34,64602,21
56,6074,178,4.47,64602,7
51,6074,179,2.9800000000000004,84098,18
41.5,6777,180,1.45,90921,4
41.5,4036,181,2.08,35486,2
38,6947,182,1.23,38335,15
21,3494,183,3.12,41130,13
45,3719,184,4.75,90566,29
51,2884,148.5,1.16,96703,12
25,5349,186,1.49,57192,7
51,6179,187,2.81,31062,2
23,7610,188,4.74,51545,13
30,7430,189,2.9800000000000004,51689,14
36,8154,190,3.03,41174,27
57,7488,191,1.17,64602,17
43,5737,192,1.59,53714,9
24,7525,193,4.95,68102,17
53,4850,194,4.86,36801,8
25,1689,195,1.02,78136,2
41,6175,196,4.81,53625,28
30,9648,197,3.56,74261,24
35,6074,148.5,4.47,31542,13
52,6448,199,2.82,51677,3
28,2179,200,3.06,76732,16
25,7406,201,2.96,80343,6
35,9591,202,3.67,69081,15
48,7907,203,1.56,92856,7
41.5,9800,204,1.12,49065,10
39,2638,205,2.23,84693,9
55,6074,206,3.82,56962,15
38,7928,207,1.81,58295,28
45,2382,208,3.69,43807,28
22,2403,209,4.88,72348,15
38,4292,210,1.38,56432,15
39,1419,148.5,3.69,87854,29
41.5,5517,212,2.78,70262,15
26,4302,213,4.47,67080,4
52,8857,148.5,1.71,31324,20
59,8870,215,3.77,65909,4
58,6693,216,2.9800000000000004,49870,18
37,1767,217,4.78,64578,15
59,6074,218,3.73,56790,27
20,2549,219,2.99,55289,17
41.5,7140,220,3.47,64602,12
47,6074,221,2.9800000000000004,45485,22
44,5481,222,3.28,74482,17
42,8898,223,1.12,34748,15
41.5,7548,224,4.72,39435,22
49,3293,148.5,3.76,33709,1
54,5837,226,3.71,60355,22
26,8758,148.5,1.86,85771,26
35,7793,228,3.64,87799,15
45,8638,148.5,2.58,43116,27
21,8993,148.5,3.6,55470,18
20,7007,231,1.43,72344,18
31,6542,232,3.63,72918,14
24,7356,233,5,64602,15
56,6074,148.5,1.19,69298,29
51,8380,235,4.91,91629,12
28,3385,236,2.63,96040,4
54,5268,237,4.48,58016,27
38,1671,238,4.13,53960,3
35,1163,239,3.27,63591,20
22,9656,240,2.9800000000000004,97641,29
39,5592,241,4.51,64602,12
43,5795,242,2.62,52700,7
52,5798,243,2.31,64620,15
41.5,7036,244,2.9800000000000004,50559,11
30,3355,245,4.23,91642,1
27,6887,246,4.05,51732,6
55,6074,247,4.19,60354,15
57,6827,248,2.9800000000000004,43843,15
41.5,9737,249,4.27,47640,19
39,5719,250,1.48,82528,11
54,1593,251,3.18,68413,26
44,5839,252,1.02,82638,23
54,8394,148.5,2.3,82736,26
44,4493,254,2.47,64602,2
48,7164,255,2.58,64602,14
37,3672,256,2.9800000000000004,71430,2
37,6074,257,2.55,54504,29
21,1016,258,2.79,37114,4
54,4191,148.5,2.9800000000000004,40975,17
35,1392,260,2.9800000000000004,41023,3
55,9616,261,1.91,51447,15
52,7272,262,1.29,53959,15
23,1571,148.5,3.41,96203,7
52,4631,264,3.67,59703,15
33,6074,265,3.48,39337,23
40,8177,266,2.85,76427,29
39,9433,267,2.52,91529,29
27,4897,268,4.45,61921,11
26,9123,269,2.9800000000000004,64602,20
22,3279,270,2.92,57355,2
36,9980,271,1.1,34835,15
52,8451,272,2.36,50159,14
31,9906,273,2.52,77605,20
41,1775,274,2.6,68088,22
41,7869,148.5,3.32,85284,15
49,3247,276,3.13,87043,27
57,8088,148.5,2.9800000000000004,65547,3
57,1078,278,4.06,57532,17
27,9080,148.5,4.25,64602,12
46,8099,280,3.87,75445,24
41.5,4926,281,4.82,35713,28
53,8340,282,1.07,86178,29
40,6074,283,1.78,79407,21
41.5,7230,284,1.03,80990,15
52,5940,285,3.59,95545,16
47,4271,286,4.59,88141,5
52,4456,287,1.97,53793,27
24,8788,288,4.71,86570,20
38,9599,289,1.24,67892,6
23,8650,148.5,4.74,31015,19
54,3711,291,2.9800000000000004,91813,25
36,2668,292,1.41,64602,5
47,1147,293,2.94,38415,3
49,7420,294,2.03,92292,15
48,1365,295,2.14,53833,1
25,5531,296,2.23,34158,26
54,6330,297,4.21,92680,28
56,6510,298,3.16,50309,6
43,9754,299,2.25,36970,15
48,9964,148.5,3.44,76540,2
